Sr. No.,Date(dd/mm/yyyy),Startup Name,Industry Sector,City / Location,Investor 1,Investor 2,Investor 3,Investment Type,Amount (in USD),Founding Date,Remarks
46,04-07-2016,NeoGrowth,Lending/Credit,Mumbai,IIFL Wealth, Omidyar Network, Khosla Impact,Private Equity,16000000,2011,
47,29-03-2016,Veritas Finance,Lending/Credit,Chennai,Sarva Capital,,,Private Equity,4700000,2015,
48,18-11-2016,GramCover,Insurance,New Delhi,Omnivore Capital,,,Seed,1000000,2016,
49,14-10-2016,ISFC,Lending/Credit,Hyderabad,Gray Matters Capital,,,Private Equity,6000000,2008,
50,20-12-2017,Spandana Sphoorty,Lending/Credit,Hyderabad,Kedaraa Capital, Ontario Teachers',,Private Equity,19500000,1998,
51,25-05-2017,Aye Finance,Lending/Credit,Gurugram,BlueOrchard Finance,,,Private Equity,8000000,2017,
52,02-11-2017,Prest Loans,Lending/Credit,New Delhi,Manish Poddar, Arun Garg, Parmeshwar Sharma,Seed,570000,2017,
53,08-11-2017,Fisdom,Investments/Wealth Management,Bengaluru,Quona Capital,,,Private Equity,3000000,2015,
54,21-11-2017,Epiq Capital,Investments/Wealth Management,Mumbai,Global Institutional Investors,,,Private Equity,200000000,2019,
55,24-11-2017,IDG Ventures,Investments/Wealth Management,Bengaluru,Uniliver Ventures,,,Private Equity,10000000,2006,
56,27-11-2017,Edelweiss,Investments/Wealth Management,Mumbai,Undisclosed,,,Private Equity,270000000,1995,
57,21-09-2017,SaveBC,Lending/Credit,Gaya,Incofin,,,Private Equity,6000000,2015,
58,04-04-2018,Varthana,Lending/Credit,Bengaluru,ChrysCapital, Existing investors, Elevar Equity,Private Equity,55000000,2013,
59,09-04-2018,Kaleidofin,Other Specialized Fintech,Chennai,Omidyar Network,Blume Ventures,Professor Shlomo Ben-Haim,Seed / Angel Funding,2800000,2017,
60,12-04-2018,AyeFinance,Lending/Credit,Gurugram,BlueOrchard Finance, Hinduja Leyland Finance,IntelleGrow,Debt Funding,"46,000,00",2014,
61,13-04-2018,mintifi,Lending/Credit,Mumbai,Lok Capital,,,Seed / Angel Funding,2000000,2017,
62,23-04-2018,Mihuru,Lending/Credit,Mumbai, 100X.,,,Seed / Angel Funding,150000,2016,
63,23-04-2018,Capital Float,Lending/Credit,Bengaluru,Amazon,,,Private Equity,22000000,2013,
64,30-04-2018,MyLoanCare,Lending/Credit,Gurugram,SAR Group,,,Seed / Angel Funding,978000,2013,
65,09-08-2018,Happy EMI,Lending/Credit,Bengaluru,AJ Ventures,Jain International Trade Organisation (JITO),,Seed / Angel Funding,1000000,2016,
66,20-08-2018,Finzy,Lending/Credit,Bengaluru,Sanjay Sunku, Pankaj Gupta, Parag Mehta,Seed / Angel Funding,1000000,2016,
67,26-08-2018,Shubh Loans,Lending/Credit,Bengaluru,Saama Capital, SRI Capital, Beenext,Private Equity,4200000,2016,
